lat,lon,system,datetime_cst,turb,ndti,dwl,zone,secchi,tsi_sd
31.90298,-103.9149,redbluff,2022-08-08T12:52:23Z,4.87,-0.21804511278195488,536,body,1.0627015659110615,59.122634923400014
31.90299,-103.9149,redbluff,2022-08-08T12:52:24Z,4.86,-0.21804511278195488,536,body,1.0641880115160982,59.10246943784922
31.90301,-103.9149,redbluff,2022-08-08T12:52:25Z,4.87,-0.21804511278195488,536,body,1.0627015659110615,59.122634923400014
31.90302,-103.9149,redbluff,2022-08-08T12:52:26Z,4.86,-0.21804511278195488,536,body,1.0641880115160982,59.10246943784922
31.90302,-103.9149,redbluff,2022-08-08T12:52:27Z,4.85,-0.21804511278195488,536,body,1.0656796043877002,59.082262416768486
31.90304,-103.9149,redbluff,2022-08-08T12:52:28Z,4.87,-0.22152690863579472,532,body,1.0627015659110615,59.122634923400014
31.90306,-103.9149,redbluff,2022-08-08T12:52:29Z,4.86,-0.22152690863579472,532,body,1.0641880115160982,59.10246943784922
31.90308,-103.9149,redbluff,2022-08-08T12:52:30Z,4.81,-0.22152690863579472,532,body,1.0716980216499765,59.00101553198554
31.9031,-103.9149,redbluff,2022-08-08T12:52:31Z,4.81,-0.22152690863579472,532,body,1.0716980216499765,59.00101553198554
31.90312,-103.9149,redbluff,2022-08-08T12:52:32Z,4.84,-0.22152690863579472,532,body,1.0671763730179864,59.0620136887003
31.90314,-103.9149,redbluff,2022-08-08T12:52:33Z,4.87,-0.22152690863579472,532,body,1.0627015659110615,59.122634923400014
31.90316,-103.9149,redbluff,2022-08-08T12:52:34Z,4.84,-0.22152690863579472,532,body,1.0671763730179864,59.0620136887003
31.90318,-103.9148,redbluff,2022-08-08T12:52:35Z,4.86,-0.22152690863579472,532,body,1.0641880115160982,59.10246943784922
31.90319,-103.9148,redbluff,2022-08-08T12:52:36Z,4.88,-0.22152690863579472,532,body,1.061220239295402,59.14275904382319
31.90321,-103.9148,redbluff,2022-08-08T12:52:37Z,4.92,-0.22152690863579472,532,body,1.055345564590735,59.22284524583895
31.90322,-103.9148,redbluff,2022-08-08T12:52:38Z,4.94,-0.22152690863579472,532,body,1.0524382214233843,59.26264451042752
31.90323,-103.9148,redbluff,2022-08-08T12:52:39Z,4.95,-0.22152690863579472,532,body,1.0509919536000192,59.28248375938526
31.90323,-103.9147,redbluff,2022-08-08T12:52:40Z,4.97,-0.22152690863579472,532,body,1.0481140923227243,59.322042301961126
31.90324,-103.9147,redbluff,2022-08-08T12:52:41Z,4.97,-0.22152690863579472,532,body,1.0481140923227243,59.322042301961126
31.90324,-103.9147,redbluff,2022-08-08T12:52:42Z,4.97,-0.22152690863579472,532,body,1.0481140923227243,59.322042301961126
31.90323,-103.9146,redbluff,2022-08-08T12:52:43Z,4.96,-0.23386243386243383,539,body,1.0495505860440058,59.30228296946823
31.90323,-103.9146,redbluff,2022-08-08T12:52:44Z,4.97,-0.23386243386243383,539,body,1.0481140923227243,59.322042301961126
31.90322,-103.9146,redbluff,2022-08-08T12:52:45Z,4.98,-0.23386243386243383,539,body,1.0466824461989455,59.34176191717599
31.90322,-103.9145,redbluff,2022-08-08T12:52:46Z,4.98,-0.23386243386243383,539,body,1.0466824461989455,59.34176191717599
31.9032,-103.9145,redbluff,2022-08-08T12:52:48Z,4.97,-0.23386243386243383,539,body,1.0481140923227243,59.322042301961126
31.90319,-103.9144,redbluff,2022-08-08T12:52:49Z,5,-0.23551171393341552,544,body,1.0438335927609421,59.38108263220391
31.90318,-103.9144,redbluff,2022-08-08T12:52:50Z,5.04,-0.23551171393341552,544,body,1.0381929238803473,59.45925440250976
31.90318,-103.9143,redbluff,2022-08-08T12:52:51Z,5.06,-0.23551171393341552,544,body,1.0354007052967593,59.49810793949687
31.90317,-103.9143,redbluff,2022-08-08T12:52:52Z,5.06,-0.23551171393341552,544,body,1.0354007052967593,59.49810793949687
31.90315,-103.9142,redbluff,2022-08-08T12:52:53Z,5,-0.23551171393341552,544,body,1.0438335927609421,59.38108263220391
31.90314,-103.9142,redbluff,2022-08-08T12:52:54Z,5,-0.23551171393341552,544,body,1.0438335927609421,59.38108263220391
31.90313,-103.9141,redbluff,2022-08-08T12:52:55Z,4.98,-0.20395550061804696,545,body,1.0466824461989455,59.34176191717599
31.90312,-103.9141,redbluff,2022-08-08T12:52:56Z,4.99,-0.20395550061804696,545,body,1.0452556216289948,59.36144197446016
31.90311,-103.914,redbluff,2022-08-08T12:52:57Z,5.09,-0.20395550061804696,545,body,1.0312469666067612,59.5561012429519
31.9031,-103.914,redbluff,2022-08-08T12:52:58Z,5.11,-0.20395550061804696,545,body,1.028500584539995,59.59457386192853
31.90309,-103.9139,redbluff,2022-08-08T12:52:59Z,5.11,-0.20395550061804696,545,body,1.028500584539995,59.59457386192853
31.90308,-103.9139,redbluff,2022-08-08T12:53:00Z,5.15,-0.20395550061804696,545,body,1.0230616310931477,59.67106941725949
31.90306,-103.9138,redbluff,2022-08-08T12:53:01Z,5.15,-0.2379778051787916,541,body,1.0230616310931477,59.67106941725949
31.90305,-103.9138,redbluff,2022-08-08T12:53:02Z,5.15,-0.2379778051787916,541,body,1.0230616310931477,59.67106941725949
31.90303,-103.9137,redbluff,2022-08-08T12:53:03Z,5.16,-0.23057644110275688,538,body,1.021712967339631,59.69010047127065
31.90302,-103.9136,redbluff,2022-08-08T12:53:04Z,5.15,-0.21836228287841192,546,body,1.0230616310931477,59.67106941725949
