,site_id,nars_name,state,lat,lon,date,secchi (m),turb (ntu),area_ha,group,visit_no
623,NLA17_CA-10069,NLA17_CA-10069,CA,38.1423,-120.855,9/12/2017,2.4,3.62,4.8963,all,1
624,NLA17_CA-10081,NLA17_CA-10081,CA,37.6695,-121.836,6/14/2017,6.2,0.95,26.9818,all,1
625,NLA17_CO-10050,NLA17_CO-10050,CO,39.5761,-105.042,7/30/2017,3.65,1.15,12.9346,all,1
626,NLA17_CO-10057,NLA17_CO-10057,CO,40.527,-104.999,7/30/2017,0.8,5.72,15.8394,all,1
627,NLA17_CO-10058,NLA17_CO-10058,CO,39.8427,-104.946,8/11/2017,2.05,2.08,7.45278,all,1
628,NLA17_CT-10019,NLA17_CT-10019,CT,41.1395,-73.6235,9/6/2017,0.85,8.31,1.71924,all,1
629,NLA17_CT-HP001,NLA17_CT-HP001,CT,41.4099,-72.5283,6/21/2017,2.44,1.35,23.8874,all,1
630,NLA17_DE-10006,NLA17_DE-10006,DE,39.0453,-75.7153,7/10/2017,0.545,8.21,1.16028,all,1
631,NLA17_FL-10015,NLA17_FL-10015,FL,26.9467,-82.0231,8/2/2017,1.5,0.91,1.44886,all,1
632,NLA17_FL-10030,NLA17_FL-10030,FL,26.6388,-80.164,8/24/2017,3.88,0.68,8.32417,all,1
633,NLA17_FL-10035,NLA17_FL-10035,FL,27.7046,-82.4335,6/1/2017,0.188,55.6,3.18922,all,1
634,NLA17_FL-10038,NLA17_FL-10038,FL,30.657,-84.433,7/26/2017,0.85,5.1,4.26381,all,1
635,NLA17_FL-10042,NLA17_FL-10042,FL,26.3894,-80.1149,9/6/2017,0.55,10.9,11.1906,all,1
636,NLA17_GA-10001,NLA17_GA-10001,GA,31.0599,-81.4132,6/6/2017,1.05,5.58,9.7414,all,1
637,NLA17_GA-10005,NLA17_GA-10005,GA,32.639,-83.9664,6/20/2017,0.41,59.3,2.44459,all,1
638,NLA17_GA-10008,NLA17_GA-10008,GA,33.0146,-83.0266,7/26/2017,4.6,1.74,2.64295,all,1
639,NLA17_GA-10020,NLA17_GA-10020,GA,31.7557,-83.4996,6/21/2017,1.36,2.17,1.91456,all,1
640,NLA17_GA-10022,NLA17_GA-10022,GA,32.4372,-82.0736,7/12/2017,1.94,3.82,13.3513,all,1
641,NLA17_GA-10026,NLA17_GA-10026,GA,33.8338,-84.0932,8/8/2017,0.98,7.86,14.2957,all,1
642,NLA17_GA-HP001,NLA17_GA-HP001,GA,31.0197,-83.1275,6/29/2017,1.7,3.71,3291.45,all,1
643,NLA17_GA-HP002,NLA17_GA-HP002,GA,34.7301,-83.3526,8/15/2017,1.7,2.82,199.795,all,1
644,NLA17_IA-10030,NLA17_IA-10030,IA,42.6076,-94.4516,7/26/2017,0.2,46.2,1.61202,all,1
645,NLA17_IA-10031,NLA17_IA-10031,IA,41.5359,-94.8811,7/20/2017,1.55,4.47,3.11818,all,1
646,NLA17_IA-10038,NLA17_IA-10038,IA,42.7296,-93.4174,8/2/2017,0.85,15.4,6.8894,all,1
647,NLA17_IA-10041,NLA17_IA-10041,IA,41.3352,-91.5446,9/8/2017,1.05,7.34,4.18006,all,1
