label,lat,lon,system,speed,datetime_utc,date_time_c,fdom,wtemp,chl_rfu,chl_ugl,turb,B2,B3,B4,B5,SCL,ndti,ndci,flag,flagneighbor,dwl
6932,31.86402,-99.02951,brownwood,0.6,2022-08-06T19:50:52Z,2022-08-06T14:50:52Z,8.46,30.64,1.57,10.83,10.3,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6933,31.55704,-99.67804,ivie,11.7,2022-08-07T17:47:22Z,2022-08-07T12:47:22Z,9.02,29.42,1.2,9.56,4.06,330.5,368,230,204.5,6,-0.2307692307692308,-0.05868814729574223,0,0,504
6934,31.55708,-99.67808,ivie,11.6,2022-08-07T17:47:23Z,2022-08-07T12:47:23Z,9.05,29.42,1.22,9.62,4.05,330.5,368,230,204.5,6,-0.2307692307692308,-0.05868814729574223,0,0,504
6934,31.86402,-99.02952,brownwood,0.7,2022-08-06T19:50:54Z,2022-08-06T14:50:54Z,8.46,30.64,1.53,10.72,10.25,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6935,31.55712,-99.67812,ivie,11.6,2022-08-07T17:47:24Z,2022-08-07T12:47:24Z,9.06,29.43,1.23,9.67,4.03,330.5,368,230,204.5,6,-0.2307692307692308,-0.05868814729574223,0,0,504
6936,31.55717,-99.67816,ivie,11.5,2022-08-07T17:47:25Z,2022-08-07T12:47:25Z,9.06,29.43,1.23,9.66,4.01,330.5,368,230,204.5,6,-0.2307692307692308,-0.05868814729574223,0,0,504
6936,31.86402,-99.02953,brownwood,0.6,2022-08-06T19:50:56Z,2022-08-06T14:50:56Z,8.44,30.65,1.54,10.76,10.24,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6937,31.55721,-99.6782,ivie,11.3,2022-08-07T17:47:26Z,2022-08-07T12:47:26Z,9.08,29.44,1.22,9.62,4.02,330.5,368,230,204.5,6,-0.2307692307692308,-0.05868814729574223,0,0,504
6938,31.55725,-99.67824,ivie,11.2,2022-08-07T17:47:27Z,2022-08-07T12:47:27Z,9.09,29.44,1.22,9.61,4,305.5,359.5,219,227.5,6,-0.2428694900605013,0.01903695408734602,0,0,509
6939,31.55729,-99.67828,ivie,11.2,2022-08-07T17:47:28Z,2022-08-07T12:47:28Z,9.1,29.45,1.23,9.67,4,317.5,357.5,218.5,222,6,-0.24131944444444445,0.0079455164585698,0,0,504
6940,31.55732,-99.67831,ivie,11,2022-08-07T17:47:29Z,2022-08-07T12:47:29Z,9.1,29.45,1.24,9.7,3.97,317.5,357.5,218.5,222,6,-0.24131944444444445,0.0079455164585698,0,0,504
6941,31.55736,-99.67835,ivie,10.9,2022-08-07T17:47:30Z,2022-08-07T12:47:30Z,9.12,29.45,1.24,9.69,3.99,317.5,357.5,218.5,222,6,-0.24131944444444445,0.0079455164585698,0,0,504
6941,31.86402,-99.02954,brownwood,0.5,2022-08-06T19:51:01Z,2022-08-06T14:51:01Z,8.38,30.65,1.51,10.64,10.25,408,617,336,292,6,-0.29485834207764955,-0.07006369426751592,0,0,536
6942,31.5574,-99.6784,ivie,10.9,2022-08-07T17:47:31Z,2022-08-07T12:47:31Z,9.13,29.46,1.23,9.68,3.96,317.5,357.5,218.5,222,6,-0.24131944444444445,0.0079455164585698,0,0,504
